username,ip,device_type,prediction
davisrodney,83.246.24.186,Mobile,suspicious
rachelhale,223.26.83.184,Windows,normal
armstrongwilliam,187.49.62.88,Mobile,normal
troyreeves,88.177.253.1,Android,normal
tylerjones,198.145.151.132,Windows,normal
heather24,151.75.30.114,Tablet,suspicious
gary61,105.150.171.167,Desktop,normal
james01,48.131.59.75,Linux,suspicious
anthony01,217.26.66.29,Linux,normal
nelsonronnie,174.128.5.134,Desktop,normal
floydjenna,191.123.6.132,Tablet,suspicious
edward86,35.34.171.79,Mac,normal
qchang,193.241.127.69,Windows,suspicious
houstonthomas,218.231.28.82,Desktop,normal
ambertownsend,94.209.171.99,Linux,suspicious
jhanna,213.192.155.126,Tablet,normal
stuartthomas,160.49.100.230,Desktop,normal
marciaday,151.92.113.247,Mobile,normal
mollywright,138.197.247.246,Mobile,suspicious
christina98,194.166.210.165,Tablet,normal
franciscurtis,186.150.50.34,Android,suspicious
garrettbenitez,202.108.137.36,Mac,normal
tbrady,179.217.151.61,Mobile,normal
michael51,148.196.225.78,Mac,normal
joshuaevans,81.138.245.34,Tablet,suspicious
ephillips,148.232.61.30,Windows,normal
wwhite,223.50.149.57,Tablet,normal
jenniferadams,136.176.114.92,Desktop,suspicious
joelkim,194.232.205.201,Desktop,normal
kharris,27.77.182.142,Android,normal
timothy15,223.24.131.70,Tablet,suspicious
ujohnson,157.0.225.23,Android,suspicious
christopher39,38.200.115.241,Windows,suspicious
donnahunt,130.137.67.83,Windows,normal
sbarry,117.156.248.102,Windows,normal
rodriguezkathleen,35.251.167.82,Linux,normal
toddmcmahon,31.170.50.208,Android,suspicious
michaelbarry,162.165.74.109,Linux,normal
gloverpatricia,15.52.150.240,Desktop,suspicious
timothydaniels,14.208.199.56,Mac,suspicious
utaylor,132.224.191.110,Desktop,suspicious
jordan69,200.138.136.110,Mac,normal
madisonshelton,163.185.156.62,Windows,normal
fdiaz,200.11.158.252,Tablet,normal
edavila,77.83.167.201,Linux,normal
cesarsmith,147.37.23.137,Windows,suspicious
iburnett,114.22.106.245,Linux,suspicious
fmoran,221.75.102.54,Tablet,suspicious
warrenlaura,222.4.53.126,Windows,suspicious
destinyburns,172.195.163.157,Windows,suspicious
avargas,46.105.114.207,Windows,normal
travisann,126.21.252.32,Linux,suspicious
wburns,174.221.182.164,Desktop,normal
baileytrevino,214.199.203.140,Android,suspicious
patricia82,168.88.130.215,Windows,normal
stevensmegan,153.150.168.216,Desktop,suspicious
raysarah,173.87.6.203,Tablet,suspicious
ericksongary,15.59.184.54,Linux,suspicious
dominguezveronica,48.188.144.227,Tablet,suspicious
russell85,129.182.116.58,Mobile,suspicious
qramos,202.74.211.195,Windows,suspicious
sandra43,214.179.113.146,Tablet,suspicious
gayjoyce,191.244.187.40,Tablet,normal
johnsstephen,199.39.109.221,Windows,normal
hsanchez,174.207.136.170,Mac,suspicious
fmiller,189.244.105.171,Linux,suspicious
adamlee,203.250.175.124,Mobile,suspicious
matthew12,212.29.180.177,Desktop,suspicious
shorn,133.128.201.224,Mac,normal
kevin96,97.98.244.203,Windows,suspicious
jacksonelizabeth,216.100.132.216,Mobile,suspicious
suzannefreeman,4.223.203.252,Desktop,suspicious
hunterpamela,173.64.190.6,Desktop,suspicious
tara77,12.251.175.151,Windows,suspicious
elijahhenderson,220.24.77.14,Android,normal
matthew38,60.136.110.23,Desktop,suspicious
wrice,204.132.18.41,Android,normal
christopherhubbard,2.52.186.77,Android,normal
malikklein,14.187.199.141,Windows,normal
parkerbonnie,213.63.113.149,Tablet,normal
josephbeck,45.56.66.68,Mac,normal
martinhunter,150.93.173.230,Mac,suspicious
taylor26,52.103.169.132,Android,normal
victoriaadams,99.54.209.121,Mobile,normal
olynch,183.137.229.213,Tablet,suspicious
salvarado,86.102.28.252,Tablet,suspicious
travis99,140.146.8.140,Desktop,normal
shelleycox,201.85.177.119,Windows,normal
lisa85,138.46.224.22,Mobile,normal
mullinssusan,46.183.77.59,Android,normal
lgibbs,118.150.79.115,Linux,suspicious
jenniferjones,213.101.164.11,Mobile,suspicious
johnwalker,136.221.13.203,Windows,suspicious
walter32,7.122.212.116,Windows,normal
pmcdowell,191.206.48.158,Linux,suspicious
kristyvaldez,8.8.221.108,Mac,normal
byrdtammy,169.164.51.178,Windows,normal
michaelwilson,186.240.158.26,Mobile,normal
taylordavid,58.55.12.208,Desktop,normal
browninggregory,131.46.187.115,Windows,suspicious
heather47,66.142.88.151,Mac,suspicious
wandatate,220.128.248.235,Windows,suspicious
jaime59,35.116.3.39,Mac,normal
katrinawhite,185.114.179.29,Mac,normal
wmiller,157.66.190.90,Android,suspicious
sarah09,193.116.239.185,Mac,normal
kevinwoods,129.39.247.120,Android,suspicious
carla85,171.56.162.50,Mobile,suspicious
chapmanhaley,77.26.30.16,Mac,normal
brittneysnow,39.68.72.136,Linux,normal
williamsrick,164.236.43.44,Tablet,normal
lucasrobert,150.27.195.142,Linux,normal
iporter,177.130.161.20,Mobile,normal
abrooks,15.255.157.208,Android,normal
tdixon,139.103.173.72,Mobile,suspicious
jpowers,215.109.220.169,Windows,suspicious
mariasalinas,49.147.10.242,Tablet,normal
stewartstephen,222.249.69.72,Desktop,suspicious
qarias,220.204.236.75,Linux,normal
jessicahogan,195.165.184.12,Linux,suspicious
jane68,138.224.20.27,Android,suspicious
williamsrandall,120.8.11.5,Android,normal
williamsolis,9.242.18.167,Tablet,suspicious
mary21,206.145.221.162,Desktop,normal
qbaker,12.174.9.176,Android,suspicious
kaufmannancy,203.244.206.229,Mobile,normal
vlewis,71.156.4.217,Mac,suspicious
tmurphy,129.20.118.85,Android,suspicious
nathanielkeith,108.186.156.100,Windows,normal
adam36,133.146.155.231,Desktop,normal
nelsondenise,174.183.228.35,Tablet,suspicious
robertsonjohn,216.111.213.163,Android,suspicious
hornjohn,216.207.132.18,Mobile,suspicious
unolan,213.116.106.225,Mobile,suspicious
amanda54,54.61.20.224,Mobile,normal
qschmidt,142.212.130.102,Windows,suspicious
yjenkins,168.191.47.59,Windows,normal
haleygoodman,221.108.61.191,Tablet,suspicious
jdavenport,19.100.222.96,Desktop,normal
ricardomoreno,175.37.3.247,Mac,suspicious
huynhpatricia,13.247.4.97,Mac,suspicious
katherine86,101.242.244.69,Desktop,suspicious
sanchezdavid,209.121.71.157,Mobile,normal
maryanderson,123.116.176.72,Android,suspicious
lballard,203.103.162.141,Mobile,normal
carrolljoshua,205.239.188.32,Android,suspicious
shawncampbell,61.204.146.46,Mobile,normal
chasepadilla,209.96.89.231,Android,normal
christinasmith,140.49.24.9,Mac,normal
maria16,60.116.75.23,Linux,normal
lcaldwell,116.1.130.121,Tablet,normal
christopher67,148.214.254.146,Mac,suspicious
kabbott,219.173.74.144,Tablet,suspicious
sgibbs,208.42.202.84,Windows,normal
flopez,205.56.78.209,Tablet,suspicious
jrichardson,213.244.35.111,Mac,normal
qmiller,104.67.184.116,Desktop,suspicious
qaguirre,146.253.84.233,Mac,normal
cdavis,138.230.182.152,Android,suspicious
george20,150.201.187.153,Windows,normal
donna55,14.66.110.57,Tablet,normal
mgoodman,36.96.85.171,Windows,normal
molinasylvia,208.171.83.206,Tablet,suspicious
john62,143.230.242.155,Tablet,suspicious
dthompson,209.60.0.183,Tablet,normal
aguilarsteven,23.178.200.23,Linux,normal
sarahmedina,80.153.90.1,Mac,suspicious
juan93,212.247.139.252,Mobile,normal
joseph55,137.121.50.214,Linux,suspicious
garrett40,199.196.133.123,Desktop,suspicious
cindywong,130.14.254.73,Mobile,suspicious
anna90,99.235.79.63,Linux,normal
whunt,196.87.52.176,Windows,suspicious
btaylor,211.235.12.117,Tablet,normal
matakyle,117.198.253.207,Windows,suspicious
lisa41,170.190.29.240,Desktop,suspicious
smithandrea,28.170.108.72,Android,normal
newmanjennifer,191.167.175.14,Desktop,normal
kyle48,215.102.42.254,Windows,suspicious
jennifer92,166.159.5.25,Android,suspicious
christopher72,216.55.240.236,Mac,normal
carterterri,207.218.216.69,Android,suspicious
rhonda28,24.42.35.186,Mac,normal
justin12,204.236.174.250,Tablet,suspicious
yyoung,212.125.154.157,Tablet,normal
whardy,25.99.158.118,Desktop,suspicious
stewartmaria,107.65.228.105,Tablet,normal
wilsonkristen,212.162.198.12,Windows,normal
williamslauren,49.115.77.224,Linux,suspicious
wilsonclifford,88.153.220.220,Mobile,normal
hwebb,106.201.108.79,Tablet,normal
knightjohnny,211.23.23.106,Android,suspicious
carolinerichard,200.187.240.128,Tablet,suspicious
michaelrangel,215.247.59.160,Windows,normal
joneskimberly,192.73.154.223,Mobile,normal
vramirez,40.163.193.137,Android,normal
oyoung,20.245.34.178,Mac,normal
lhoward,51.159.87.114,Linux,normal
xflores,157.129.45.205,Linux,normal
erin36,211.103.125.10,Windows,normal
qvillanueva,117.224.54.115,Mobile,suspicious
thomassteven,205.250.125.17,Desktop,suspicious
piercestephanie,208.15.20.155,Mac,normal
jamesfisher,202.166.32.4,Mac,suspicious
juliesnyder,85.217.148.45,Desktop,suspicious
brandi41,211.224.137.66,Mac,normal
shannon83,146.92.218.62,Desktop,normal
grace27,214.189.87.249,Tablet,suspicious
zneal,159.125.132.86,Mobile,suspicious
meganmiller,131.217.127.124,Tablet,suspicious
kelsey57,156.70.67.153,Linux,normal
shannon58,223.141.104.179,Mac,suspicious
rogersbetty,137.95.73.173,Mobile,normal
amandawarren,202.195.252.108,Mobile,suspicious
leebrandy,215.80.66.184,Android,normal
henrylori,90.183.206.207,Android,normal
nancy26,12.3.34.89,Tablet,suspicious
leslie14,197.172.116.87,Tablet,normal
nicholas44,124.31.41.239,Linux,normal
youngmonica,215.80.28.177,Desktop,suspicious
patricia90,118.113.199.48,Windows,suspicious
rjackson,167.247.197.105,Tablet,normal
wcannon,215.113.147.27,Tablet,suspicious
mgriffith,175.217.124.46,Tablet,normal
mary36,188.140.170.135,Mac,suspicious
brianna37,192.246.82.13,Mobile,normal
ekelley,202.226.181.129,Android,suspicious
sharonjohnson,135.108.85.17,Mobile,normal
wongkayla,209.162.155.43,Linux,suspicious
angelarodriguez,107.198.241.13,Mac,normal
donwhite,52.90.63.127,Tablet,suspicious
jenniferpark,138.70.255.137,Tablet,suspicious
youngjerry,71.13.32.210,Android,suspicious
tammy53,91.70.8.158,Mac,normal
vnguyen,24.23.221.15,Tablet,normal
frank55,165.40.83.238,Mac,normal
adkinsmichael,33.128.34.155,Android,normal
clarkmolly,80.51.72.75,Linux,suspicious
farmerjason,19.103.204.202,Mac,normal
jermaine40,74.49.154.0,Linux,suspicious
kdennis,142.57.244.68,Mac,normal
crystalevans,147.230.143.220,Tablet,suspicious
andrewwallace,19.53.143.202,Desktop,normal
mathew40,194.174.53.41,Tablet,suspicious
hamiltonkyle,138.225.103.8,Windows,suspicious
wsavage,200.183.105.132,Android,suspicious
angela54,138.155.108.100,Windows,normal
allison21,105.92.172.172,Windows,normal
williambishop,192.25.221.136,Tablet,normal
yvette44,162.230.6.137,Mobile,normal
christopher54,9.80.124.31,Desktop,normal
uellis,176.70.20.248,Mobile,normal
campbellsean,184.105.209.72,Android,normal
lgraham,219.11.170.209,Linux,suspicious
fowlerstacy,159.109.158.204,Windows,normal
snyderchristine,131.142.28.86,Windows,normal
derekponce,143.123.236.62,Windows,suspicious
stephen69,196.101.141.40,Mac,normal
richardjohnson,133.123.56.76,Tablet,normal
williamhernandez,222.169.155.187,Desktop,normal
plittle,223.50.48.223,Mobile,suspicious
pearsonpeter,53.165.38.7,Mobile,normal
brianjohnson,131.252.28.193,Mac,normal
ngarcia,93.41.248.141,Windows,suspicious
rponce,119.154.219.106,Mac,suspicious
matthewsamy,144.142.184.51,Windows,suspicious
frenchkevin,108.87.208.129,Mobile,normal
xsimmons,222.227.11.22,Tablet,suspicious
hudsonangela,203.64.185.205,Mac,suspicious
johnfrost,134.157.236.120,Tablet,suspicious
martinezchristopher,135.4.190.127,Tablet,normal
ymartinez,56.69.243.245,Desktop,suspicious
wellsjustin,70.225.187.120,Mac,suspicious
gevans,208.125.79.3,Mac,normal
jasonsummers,17.166.231.30,Android,suspicious
michaellarson,189.170.168.40,Linux,normal
haley56,165.135.168.82,Android,normal
vkane,156.2.25.58,Desktop,suspicious
davidflowers,161.119.69.141,Tablet,normal
emolina,215.171.243.20,Desktop,suspicious
carmensteele,27.57.147.192,Windows,normal
davissteven,94.56.135.6,Tablet,normal
idunn,94.179.113.22,Tablet,suspicious
michaeljames,218.204.102.49,Mobile,normal
williamross,81.28.133.39,Android,normal
rachelklein,174.109.195.128,Mobile,suspicious
natalierodriguez,111.156.214.175,Android,suspicious
vrodriguez,178.248.3.128,Mac,normal
donald62,220.131.198.241,Desktop,suspicious
williamsdonna,125.218.20.31,Windows,suspicious
gerald18,188.217.72.194,Mobile,normal
shawnmccarty,66.11.78.49,Windows,normal
rgonzales,180.184.128.42,Mac,normal
toddgeorge,218.149.36.10,Mac,suspicious
leroy41,137.125.20.46,Android,suspicious
jacquelinerose,137.7.19.86,Linux,suspicious
cassidy08,210.253.209.116,Tablet,suspicious
yrodriguez,79.162.75.26,Linux,suspicious
thomasevans,194.159.161.241,Mac,normal
moorejohn,186.34.48.195,Tablet,normal
michaelthompson,178.0.34.201,Android,suspicious
jonmosley,27.121.26.17,Desktop,suspicious
robert32,193.89.138.50,Linux,suspicious
schultzjessica,118.72.30.233,Mac,normal
yatesjulia,153.43.109.27,Android,suspicious
johnsonkyle,130.108.1.15,Android,suspicious
xrosales,209.26.117.93,Android,suspicious
alexisblanchard,163.241.9.159,Tablet,suspicious
stephanie27,172.222.103.109,Mac,normal
mgomez,144.97.201.6,Windows,normal
poolemichael,15.164.186.78,Windows,suspicious
brianparsons,85.40.116.30,Linux,normal
xconley,219.229.110.33,Android,suspicious
jwalsh,171.93.77.212,Desktop,suspicious
jorge15,211.12.213.182,Android,normal
felicia57,172.223.61.24,Linux,normal
michaelsmith,157.63.3.122,Windows,normal
kbrown,174.108.89.209,Desktop,normal
parkerolivia,134.84.230.69,Tablet,suspicious
qbrown,190.244.31.9,Android,suspicious
knightrobert,163.164.129.217,Android,normal
thomaskeller,88.68.119.235,Android,normal
annette93,200.139.21.21,Android,normal
michael55,215.47.26.187,Windows,suspicious
wilkersonholly,55.190.107.109,Linux,suspicious
michelerivers,148.71.2.238,Mac,normal
sheliabrown,9.217.133.79,Linux,suspicious
hendersonjennifer,143.198.57.46,Windows,suspicious
david08,217.47.36.232,Mobile,suspicious
tyler06,131.243.219.176,Desktop,suspicious
gdalton,174.21.159.141,Windows,suspicious
emily90,148.35.239.81,Mac,suspicious
dustinperry,211.60.72.224,Android,normal
johnsonrichard,21.39.73.198,Linux,normal
bradforddiane,111.12.237.145,Mac,suspicious
mmoon,131.237.136.241,Mobile,normal
njohnson,4.89.204.30,Mobile,normal
chaneyjoseph,9.137.150.66,Linux,suspicious
ysims,215.197.14.197,Mac,suspicious
ashleywright,161.100.174.67,Mac,suspicious
casey84,47.195.22.241,Tablet,suspicious
martin41,200.96.238.103,Mac,normal
pgeorge,212.8.157.195,Mac,normal
shannonbaker,143.98.9.160,Mobile,normal
jacob22,6.236.151.95,Desktop,normal
daniel81,82.141.124.229,Mobile,suspicious
sotowilliam,148.237.131.128,Mobile,suspicious
tkelly,217.237.71.84,Desktop,suspicious
david74,107.231.244.247,Android,normal
dawnlamb,166.89.179.224,Linux,normal
ginaallen,223.9.187.71,Mobile,normal
abigailgreen,144.111.188.233,Mac,normal
melissa24,133.44.181.176,Mac,normal
sherri96,77.166.181.220,Desktop,suspicious
joseph51,180.140.131.205,Mac,normal
johnsonleon,140.240.94.109,Tablet,suspicious
gibbstracy,189.50.192.111,Mobile,normal
jgarcia,155.254.196.45,Android,normal
sara54,209.185.82.166,Desktop,normal
glassjoel,160.246.8.124,Mac,normal
bstokes,211.6.233.37,Mobile,normal
aguilarderek,121.109.88.2,Tablet,suspicious
alexanderaaron,112.15.157.143,Windows,normal
joseph80,191.164.172.48,Mobile,normal
schneidertodd,205.152.175.213,Desktop,suspicious
jeannewoods,156.26.255.219,Mac,suspicious
barry71,194.145.169.225,Desktop,suspicious
amathews,102.66.212.235,Android,normal
joseph07,3.164.24.52,Desktop,normal
kristenvalentine,207.138.92.196,Tablet,normal
jblack,166.67.29.142,Windows,normal
hortonjeremy,36.231.209.1,Android,normal
tmccoy,106.57.232.131,Mac,normal
vhawkins,219.213.242.184,Linux,suspicious
wellsdebra,38.201.56.163,Android,normal
powelljose,170.146.103.170,Windows,suspicious
brownmichael,156.180.146.162,Android,suspicious
christinawood,213.74.41.146,Windows,suspicious
contrerasrichard,219.238.255.24,Linux,normal
christopher43,130.36.5.235,Desktop,suspicious
tkramer,174.44.173.212,Desktop,normal
dustin60,180.89.8.206,Desktop,suspicious
margaret30,124.247.234.188,Linux,suspicious
david21,177.244.87.0,Mobile,suspicious
mcarter,172.170.46.212,Desktop,normal
zwilliams,222.101.97.157,Linux,suspicious
markperez,221.194.92.28,Mac,normal
ewest,220.173.31.119,Desktop,suspicious
andrewjones,50.41.167.195,Linux,suspicious
julie23,214.10.218.144,Tablet,suspicious
umeadows,157.255.142.140,Mac,normal
jonesmonique,189.57.170.245,Linux,suspicious
donnahansen,136.218.132.124,Tablet,suspicious
cshannon,88.181.84.129,Desktop,normal
sandra41,202.95.253.45,Desktop,suspicious
pricemitchell,223.43.186.179,Linux,normal
zpena,201.70.213.115,Tablet,suspicious
ritaholland,74.151.170.140,Android,suspicious
oconnelldaniel,201.143.93.196,Linux,suspicious
danielcasey,159.116.96.28,Tablet,suspicious
lindsey68,138.252.170.65,Desktop,normal
ccaldwell,20.75.178.51,Windows,suspicious
michaelgraham,100.57.229.98,Mobile,suspicious
rsmith,116.84.39.37,Tablet,suspicious
austinmoore,207.105.128.72,Desktop,suspicious
martinezcindy,128.44.52.22,Desktop,suspicious
pjoyce,6.134.236.145,Mobile,normal
elizabethprice,161.205.129.80,Linux,suspicious
julierichardson,79.195.53.233,Windows,suspicious
brandonvelazquez,219.124.89.33,Android,normal
ashley54,200.119.254.123,Mac,suspicious
qkennedy,22.37.15.74,Windows,suspicious
dylanrich,221.91.89.136,Linux,suspicious
kandrews,213.122.106.203,Windows,normal
jessicaheath,8.51.188.240,Windows,normal
davidburton,166.158.129.95,Windows,suspicious
kelleyhenry,121.7.51.226,Mac,suspicious
jonesamanda,146.238.148.26,Desktop,suspicious
rstephenson,222.85.237.72,Linux,normal
danielle87,54.252.195.164,Android,normal
curtis88,83.252.131.41,Linux,suspicious
andrew67,214.209.244.53,Mac,suspicious
williamslaurie,220.97.15.197,Linux,normal
ntodd,150.96.29.192,Linux,normal
carollang,140.233.249.78,Mobile,normal
msmith,172.171.40.1,Windows,suspicious
nwood,223.60.162.18,Mac,normal
christopher27,180.241.158.117,Tablet,suspicious
hoffmanjason,218.87.228.124,Desktop,normal
robert16,219.183.160.242,Linux,suspicious
hpotter,211.120.37.234,Windows,suspicious
marc21,50.25.84.126,Desktop,normal
floydamy,183.186.176.164,Desktop,suspicious
kevinyork,113.166.24.202,Linux,normal
dustinsilva,209.85.42.201,Linux,suspicious
jerrymitchell,141.174.56.30,Windows,suspicious
suzanneholland,140.32.219.14,Windows,suspicious
deborah10,193.172.51.213,Android,suspicious
iyates,136.195.208.198,Desktop,normal
youngstephen,196.3.144.146,Tablet,suspicious
diana96,148.173.20.85,Mobile,suspicious
scurry,204.182.171.180,Mobile,suspicious
qneal,27.35.47.71,Tablet,suspicious
floresrenee,221.213.50.3,Mobile,suspicious
ubradley,171.183.51.31,Mac,normal
yblack,194.252.187.73,Linux,suspicious
mware,56.19.207.222,Desktop,suspicious
stricklandsean,72.29.90.105,Mobile,normal
kbailey,196.200.174.188,Mac,suspicious
stephengonzalez,21.12.167.200,Tablet,normal
dcabrera,165.245.226.154,Mobile,normal
jennifer95,214.25.64.30,Linux,normal
xgreer,67.143.211.33,Android,suspicious
joshuayoung,188.18.10.180,Android,suspicious
hproctor,86.115.205.206,Windows,normal
paul16,88.182.125.233,Mac,normal
martinamy,195.3.223.22,Linux,suspicious
ramosmichael,216.213.17.206,Tablet,normal
bryan90,64.117.197.130,Windows,normal
ghudson,83.138.66.65,Mobile,suspicious
jbailey,203.207.49.140,Tablet,suspicious
jose88,197.212.69.20,Android,suspicious
bowenkendra,129.114.222.163,Linux,normal
whardin,69.162.125.161,Windows,suspicious
daniel28,180.120.37.159,Linux,suspicious
shawkelly,90.72.164.188,Desktop,suspicious
chenjonathan,221.177.119.226,Android,normal
matthew05,193.129.179.148,Tablet,normal
patriciablake,93.14.159.51,Desktop,suspicious
beanclayton,38.144.200.108,Windows,normal
lbarron,55.193.144.251,Desktop,normal
vegalogan,162.85.213.63,Desktop,normal
dominguezgary,52.61.214.39,Desktop,suspicious
nathan95,192.129.18.226,Windows,normal
johnsanchez,172.200.141.127,Android,suspicious
tyronepreston,218.59.227.250,Desktop,normal
terrencevaldez,88.114.125.170,Tablet,suspicious
gordonrhonda,217.192.245.143,Mobile,suspicious
joshuahernandez,50.173.117.148,Windows,suspicious
martin69,148.217.247.57,Desktop,normal
gonzalezrenee,148.131.116.145,Linux,normal
bateskaren,188.77.203.164,Linux,suspicious
cynthiajones,183.108.32.8,Tablet,suspicious
sonya78,141.67.72.130,Mac,suspicious
kingmelinda,97.124.233.33,Mobile,suspicious
jrubio,194.156.234.154,Mobile,suspicious
ijohnson,200.208.116.252,Tablet,normal
wbooth,141.182.92.45,Mobile,normal
bprice,105.174.88.7,Desktop,suspicious
fmeyers,193.80.203.70,Mobile,suspicious
karen15,191.171.235.64,Mac,suspicious
kenneth45,195.101.121.77,Windows,suspicious
vmoore,28.248.245.111,Mac,suspicious
khaney,64.8.169.186,Mobile,normal
frederick22,206.63.71.65,Mobile,suspicious
alexandraeverett,222.86.115.220,Windows,suspicious
elizabeth13,122.198.233.193,Android,normal
stephen74,129.189.109.210,Windows,suspicious
savannah69,144.42.99.172,Mobile,suspicious
jamesalexander,128.175.186.250,Mobile,suspicious
derrick54,9.170.61.187,Desktop,normal
lewismark,70.46.90.44,Mac,suspicious
adam60,37.2.151.189,Mobile,normal
kingjennifer,139.55.185.161,Windows,normal
sandovalsavannah,161.247.36.12,Mac,normal
greenegary,43.11.212.210,Desktop,suspicious
chad20,176.215.197.247,Windows,suspicious
davispatrick,124.252.201.235,Mobile,suspicious
joseph34,192.123.200.134,Mac,normal
austinwashington,193.76.241.155,Tablet,normal
andrew50,196.219.2.142,Tablet,suspicious
michaelross,25.230.6.158,Android,suspicious
griffincrystal,156.223.30.176,Linux,normal
shale,116.108.56.235,Mobile,normal
juan40,70.5.166.119,Mobile,suspicious
teresasmith,78.226.137.28,Desktop,normal
nmclaughlin,136.209.122.165,Desktop,suspicious
randy24,220.133.0.0,Tablet,suspicious
xcastillo,46.238.112.4,Windows,suspicious
vyu,49.91.95.235,Android,suspicious
petermoore,177.219.21.30,Android,normal
rayjohnson,157.189.149.28,Android,normal
rpotter,160.239.29.78,Mac,suspicious
hodom,218.26.44.1,Tablet,normal
sara11,7.16.87.196,Mac,suspicious
lhernandez,217.182.94.231,Linux,suspicious
olivia43,45.23.115.125,Tablet,normal
geraldmoore,16.141.128.98,Linux,suspicious
mbridges,174.11.110.178,Android,normal
jill50,195.109.10.85,Mobile,normal
hannahhoffman,167.89.118.69,Mobile,normal
scottsarah,148.9.230.136,Tablet,normal
eric65,217.141.60.248,Linux,suspicious
angela44,36.54.235.74,Mobile,suspicious
robert00,206.14.141.221,Windows,normal
cheyennemurphy,15.84.183.50,Linux,suspicious
garciachristina,207.123.234.99,Desktop,suspicious
cfernandez,140.67.237.145,Windows,normal
carsonadrian,112.176.152.212,Mobile,suspicious
amandaramirez,166.200.52.115,Windows,normal
ijackson,87.105.28.178,Mobile,suspicious
lawsonrussell,94.1.207.76,Windows,normal
david60,187.245.196.74,Linux,normal
william23,194.144.130.50,Windows,normal
twoodard,170.121.129.162,Tablet,suspicious
briana29,197.32.13.235,Mac,normal
williambennett,32.188.48.108,Android,suspicious
timothyturner,137.223.225.243,Mac,normal
marknavarro,198.12.219.226,Desktop,normal
robert10,41.31.238.71,Desktop,suspicious
larry73,102.4.182.114,Mac,normal
thomasward,170.1.243.225,Mobile,normal
usullivan,55.56.161.213,Windows,normal
latkinson,200.126.0.97,Mobile,suspicious
robert63,179.210.89.156,Tablet,suspicious
hoganryan,194.53.251.201,Tablet,normal
cathymata,180.110.161.114,Desktop,suspicious
mike14,160.130.184.151,Android,suspicious
garrettpeter,135.68.244.229,Tablet,normal
christopher63,61.32.43.242,Tablet,normal
jadecamacho,202.83.23.79,Linux,normal
thamilton,211.109.132.137,Mac,normal
kenneth89,72.189.169.172,Mac,suspicious
christophertucker,166.180.0.37,Windows,suspicious
heididiaz,9.112.126.67,Mobile,normal
qellison,34.141.33.159,Linux,suspicious
greendaniel,126.69.10.115,Linux,suspicious
meyersharon,178.94.214.4,Mac,suspicious
tracy51,201.89.252.43,Linux,suspicious
vhubbard,41.195.31.169,Mac,suspicious
hannah69,147.3.57.24,Windows,normal
jeanettesimmons,214.77.44.3,Tablet,suspicious
ywood,137.185.16.109,Mobile,suspicious
colincampbell,196.163.252.204,Tablet,suspicious
mary72,220.169.110.130,Mobile,normal
tasha45,149.56.247.115,Android,normal
becky48,215.111.137.177,Desktop,normal
urivera,26.33.94.52,Desktop,suspicious
perezbrent,163.207.110.18,Windows,suspicious
elizabeth36,5.252.160.160,Android,normal
reneechung,120.66.243.202,Android,suspicious
frankross,4.129.151.153,Windows,suspicious
gonzalezmichelle,223.238.62.165,Windows,normal
williamhughes,143.254.174.211,Linux,normal
skinnerlarry,44.49.97.107,Linux,normal
bridgetrichard,81.227.11.189,Desktop,suspicious
