username,ip,device_type,prediction
admin,124.215.160.70,Tablet,suspicious
admin,11.31.200.129,Tablet,suspicious
demo,220.181.201.210,Tablet,suspicious
user1,125.147.86.166,Tablet,suspicious
john,70.187.41.77,Mobile,suspicious
alice,36.115.96.117,Mobile,suspicious
user,140.127.176.16,Desktop,suspicious
guest,166.149.213.138,Mobile,suspicious
guest,56.13.117.92,Unknown,suspicious
guest,22.188.146.150,Mobile,suspicious
alice,171.229.109.179,Tablet,suspicious
root,30.32.250.45,Desktop,suspicious
guest,70.70.195.82,Desktop,suspicious
root,83.122.4.219,Tablet,suspicious
admin,150.200.61.1,Tablet,suspicious
root,195.89.136.147,Desktop,suspicious
guest,20.213.135.12,Desktop,suspicious
login,86.226.137.138,Desktop,suspicious
admin,192.8.188.29,Unknown,suspicious
login,59.195.60.220,Unknown,suspicious
admin,146.70.125.170,Unknown,suspicious
alice,83.76.106.140,Unknown,suspicious
root,15.13.77.152,Mobile,suspicious
demo,223.254.47.148,Tablet,suspicious
user1,74.68.87.78,Desktop,suspicious
alice,54.30.159.167,Unknown,suspicious
user,48.49.104.117,Mobile,suspicious
guest,10.63.186.241,Mobile,suspicious
demo,46.139.252.221,Unknown,suspicious
guest,198.32.109.152,Tablet,suspicious
login,92.242.196.109,Unknown,suspicious
user,73.143.251.253,Unknown,suspicious
user,89.50.75.136,Unknown,suspicious
root,46.33.4.115,Mobile,suspicious
john,92.47.224.129,Desktop,suspicious
root,70.118.234.226,Mobile,suspicious
user1,61.61.32.228,Tablet,suspicious
test,134.25.38.223,Desktop,suspicious
demo,196.143.102.16,Desktop,suspicious
user1,10.232.209.234,Unknown,suspicious
user,112.186.118.96,Desktop,suspicious
login,58.146.170.193,Unknown,suspicious
alice,12.177.216.154,Desktop,suspicious
guest,38.252.26.137,Desktop,suspicious
test,8.87.20.73,Desktop,suspicious
alice,60.76.128.161,Desktop,suspicious
user1,5.230.45.31,Unknown,suspicious
guest,56.101.8.67,Tablet,suspicious
root,200.58.195.116,Tablet,suspicious
john,77.19.63.38,Mobile,suspicious
test,194.252.84.250,Tablet,suspicious
admin,66.10.93.253,Mobile,suspicious
user1,70.131.39.209,Desktop,suspicious
root,138.165.6.114,Desktop,suspicious
demo,90.180.22.135,Desktop,suspicious
demo,98.57.131.76,Unknown,suspicious
alice,163.181.179.195,Tablet,suspicious
test,104.153.7.4,Unknown,suspicious
john,205.186.178.155,Desktop,suspicious
guest,32.88.102.66,Tablet,suspicious
john,144.2.138.76,Mobile,suspicious
admin,120.184.195.4,Unknown,suspicious
demo,132.102.95.173,Tablet,suspicious
alice,28.90.138.240,Desktop,suspicious
admin,209.141.77.62,Mobile,suspicious
root,198.91.184.184,Tablet,suspicious
user1,165.91.180.150,Mobile,suspicious
demo,23.179.178.116,Tablet,suspicious
user,108.88.34.167,Desktop,suspicious
user1,54.5.251.206,Mobile,suspicious
user1,142.132.63.91,Mobile,suspicious
user1,118.140.147.46,Unknown,suspicious
guest,155.226.157.134,Mobile,suspicious
john,76.32.168.156,Desktop,suspicious
login,24.113.232.212,Tablet,suspicious
guest,71.45.246.11,Tablet,suspicious
root,2.90.11.189,Unknown,suspicious
alice,102.118.222.149,Desktop,suspicious
admin,210.226.250.63,Desktop,suspicious
demo,59.181.55.179,Tablet,suspicious
demo,148.172.2.86,Desktop,suspicious
test,182.53.211.235,Desktop,suspicious
alice,24.233.77.180,Tablet,suspicious
user1,72.21.254.216,Desktop,suspicious
demo,104.133.126.32,Desktop,suspicious
user1,194.110.59.139,Tablet,suspicious
login,207.68.61.87,Desktop,suspicious
john,104.181.180.247,Desktop,suspicious
admin,169.240.242.253,Unknown,suspicious
alice,82.240.222.199,Tablet,suspicious
root,187.12.151.31,Desktop,suspicious
guest,41.9.235.134,Tablet,suspicious
root,202.247.41.198,Mobile,suspicious
admin,134.112.254.158,Tablet,suspicious
test,80.156.249.100,Mobile,suspicious
user1,170.255.186.22,Unknown,suspicious
root,55.109.7.102,Mobile,suspicious
test,99.18.176.118,Mobile,suspicious
alice,1.188.67.146,Unknown,suspicious
login,132.89.198.198,Unknown,suspicious
login,141.109.150.61,Unknown,suspicious
guest,139.86.157.223,Mobile,suspicious
login,179.103.175.141,Mobile,suspicious
user1,62.154.78.40,Desktop,suspicious
demo,94.81.15.62,Tablet,suspicious
user1,16.3.225.171,Mobile,suspicious
user1,213.245.90.79,Mobile,suspicious
demo,114.30.66.180,Mobile,suspicious
root,17.90.176.75,Mobile,suspicious
user,135.183.166.11,Unknown,suspicious
demo,162.200.8.6,Unknown,suspicious
user1,43.139.195.79,Desktop,suspicious
test,76.13.209.26,Desktop,suspicious
root,67.128.248.26,Mobile,suspicious
user,212.139.22.164,Desktop,suspicious
user,44.42.243.147,Tablet,suspicious
root,138.249.85.66,Desktop,suspicious
admin,152.119.212.52,Mobile,suspicious
guest,48.17.17.6,Desktop,suspicious
login,183.237.147.140,Unknown,suspicious
demo,213.122.204.146,Unknown,suspicious
test,46.179.60.208,Mobile,normal
guest,100.176.173.119,Mobile,suspicious
guest,191.68.241.105,Tablet,suspicious
john,93.73.129.253,Mobile,suspicious
user,154.37.38.71,Desktop,suspicious
guest,214.16.129.243,Desktop,suspicious
admin,90.22.250.224,Mobile,suspicious
john,95.12.82.12,Desktop,suspicious
user,11.205.222.252,Desktop,suspicious
john,117.123.224.82,Desktop,suspicious
root,218.31.109.113,Mobile,suspicious
guest,108.53.184.168,Unknown,suspicious
admin,188.55.121.36,Unknown,suspicious
user,138.19.83.243,Tablet,suspicious
admin,182.7.17.239,Tablet,suspicious
guest,223.110.86.49,Mobile,suspicious
guest,173.178.75.201,Tablet,suspicious
admin,8.200.51.76,Mobile,suspicious
login,100.3.179.109,Mobile,suspicious
login,162.43.175.26,Tablet,suspicious
alice,24.155.15.162,Desktop,suspicious
login,7.251.7.222,Desktop,suspicious
john,151.143.252.184,Mobile,suspicious
login,13.171.35.168,Tablet,suspicious
john,63.224.54.98,Tablet,suspicious
root,184.103.218.210,Unknown,suspicious
test,221.209.51.83,Unknown,suspicious
login,37.67.254.92,Tablet,suspicious
alice,166.202.182.208,Mobile,suspicious
john,195.120.127.8,Tablet,suspicious
root,51.147.68.179,Mobile,normal
alice,24.159.86.176,Unknown,suspicious
test,75.246.136.42,Desktop,suspicious
user,115.76.237.253,Mobile,suspicious
demo,183.8.236.18,Desktop,suspicious
root,166.25.151.214,Tablet,suspicious
user1,213.23.123.170,Mobile,suspicious
demo,10.183.43.73,Mobile,suspicious
alice,185.248.173.83,Tablet,suspicious
guest,81.13.132.166,Tablet,suspicious
user1,48.136.50.175,Mobile,suspicious
admin,61.116.30.212,Tablet,suspicious
demo,128.1.15.97,Mobile,suspicious
user,121.125.30.64,Desktop,suspicious
user,138.121.2.195,Mobile,suspicious
guest,10.205.139.181,Unknown,suspicious
user,166.46.87.146,Desktop,suspicious
john,182.164.58.132,Unknown,suspicious
alice,145.26.132.18,Desktop,suspicious
john,139.28.83.152,Mobile,suspicious
test,33.102.140.226,Unknown,suspicious
admin,154.33.120.171,Mobile,suspicious
login,78.16.155.199,Desktop,suspicious
test,51.62.57.190,Tablet,suspicious
login,179.88.98.51,Tablet,suspicious
john,71.182.241.32,Tablet,suspicious
root,214.61.155.191,Tablet,suspicious
alice,15.224.199.16,Tablet,suspicious
guest,48.151.203.242,Unknown,suspicious
admin,44.56.228.252,Desktop,suspicious
root,29.37.91.105,Desktop,suspicious
user1,206.201.97.148,Desktop,suspicious
user1,200.236.229.252,Desktop,suspicious
user1,112.241.56.124,Unknown,suspicious
alice,22.244.6.52,Mobile,suspicious
login,2.208.131.70,Tablet,suspicious
user1,182.141.161.62,Desktop,suspicious
admin,164.42.95.172,Desktop,suspicious
root,204.32.55.199,Unknown,suspicious
john,135.3.1.117,Tablet,suspicious
user,84.154.230.63,Unknown,suspicious
john,97.4.83.75,Unknown,suspicious
test,99.120.185.50,Tablet,suspicious
user1,55.232.5.107,Desktop,suspicious
demo,50.117.179.91,Unknown,suspicious
login,77.110.90.213,Tablet,suspicious
root,44.13.16.0,Unknown,suspicious
user,155.33.207.246,Desktop,suspicious
alice,186.217.0.160,Desktop,normal
test,167.211.27.166,Desktop,suspicious
root,59.170.14.118,Unknown,suspicious
john,153.1.29.1,Unknown,suspicious
alice,221.8.247.149,Desktop,suspicious
guest,75.170.140.163,Mobile,suspicious
admin,199.85.123.34,Tablet,suspicious
alice,13.41.126.116,Desktop,suspicious
john,109.255.52.38,Unknown,suspicious
alice,51.73.23.194,Desktop,suspicious
guest,7.59.53.41,Unknown,suspicious
john,27.4.121.163,Mobile,suspicious
root,4.144.70.57,Tablet,suspicious
guest,34.1.184.136,Mobile,suspicious
demo,187.43.134.77,Unknown,suspicious
root,38.10.174.249,Desktop,suspicious
john,194.87.251.98,Desktop,suspicious
john,89.64.91.226,Mobile,suspicious
alice,43.143.9.91,Mobile,suspicious
user1,83.36.69.96,Tablet,suspicious
admin,207.142.205.28,Tablet,suspicious
admin,216.134.199.153,Tablet,suspicious
user1,145.2.162.166,Desktop,suspicious
guest,202.174.139.173,Unknown,suspicious
guest,99.212.157.45,Mobile,suspicious
john,95.161.106.39,Unknown,suspicious
user1,70.239.142.182,Tablet,suspicious
alice,182.212.221.195,Mobile,suspicious
john,189.144.189.112,Desktop,suspicious
john,193.37.49.172,Tablet,suspicious
test,201.94.188.150,Mobile,suspicious
admin,158.172.76.65,Unknown,suspicious
root,76.249.39.237,Tablet,suspicious
guest,219.45.139.37,Desktop,suspicious
john,75.186.218.217,Desktop,suspicious
demo,17.57.155.226,Unknown,suspicious
john,36.121.206.113,Mobile,suspicious
alice,107.60.219.179,Desktop,suspicious
john,200.110.173.104,Unknown,suspicious
user1,121.131.35.98,Unknown,suspicious
login,22.77.236.16,Desktop,suspicious
root,184.60.208.186,Desktop,suspicious
john,35.235.224.253,Mobile,suspicious
alice,54.184.118.69,Desktop,suspicious
demo,184.84.120.189,Tablet,suspicious
user,23.237.196.168,Mobile,suspicious
user,21.115.39.136,Desktop,suspicious
test,26.107.45.125,Tablet,suspicious
demo,131.12.35.127,Mobile,suspicious
guest,111.54.42.66,Desktop,suspicious
admin,37.204.87.32,Tablet,suspicious
guest,36.189.242.242,Tablet,suspicious
login,216.216.215.33,Unknown,suspicious
guest,94.215.102.69,Tablet,suspicious
user1,151.246.141.33,Unknown,suspicious
login,106.58.237.70,Tablet,suspicious
user1,204.75.251.95,Desktop,suspicious
user,131.130.83.54,Mobile,suspicious
demo,94.62.47.24,Unknown,suspicious
user,187.201.122.153,Unknown,suspicious
test,92.83.11.183,Tablet,suspicious
john,2.250.243.170,Unknown,suspicious
alice,150.178.98.19,Unknown,suspicious
alice,30.42.243.20,Tablet,suspicious
admin,142.85.55.200,Tablet,suspicious
alice,54.41.187.234,Tablet,suspicious
root,142.193.9.9,Desktop,suspicious
admin,141.111.46.128,Mobile,suspicious
user,158.159.175.73,Desktop,suspicious
test,36.253.148.138,Desktop,suspicious
login,32.1.103.68,Tablet,suspicious
demo,194.78.118.154,Unknown,suspicious
demo,128.16.1.217,Unknown,suspicious
john,39.95.213.37,Unknown,suspicious
guest,94.106.98.172,Unknown,suspicious
login,162.116.1.14,Tablet,suspicious
login,143.116.99.107,Unknown,suspicious
user,172.156.80.153,Unknown,suspicious
alice,6.80.71.233,Mobile,suspicious
guest,24.118.125.83,Tablet,suspicious
login,213.211.202.66,Tablet,suspicious
demo,121.183.127.34,Desktop,suspicious
user,214.67.11.43,Desktop,suspicious
demo,216.115.233.231,Tablet,suspicious
test,30.49.86.100,Unknown,suspicious
alice,64.60.193.27,Mobile,suspicious
alice,65.67.202.163,Desktop,suspicious
guest,88.61.128.215,Tablet,suspicious
user1,89.173.140.118,Unknown,suspicious
guest,34.100.21.140,Tablet,suspicious
john,200.56.219.208,Mobile,suspicious
user,42.12.140.18,Mobile,suspicious
root,101.0.203.194,Tablet,normal
user1,117.172.126.217,Tablet,suspicious
user1,191.6.214.81,Mobile,suspicious
guest,60.215.239.3,Tablet,suspicious
admin,155.100.243.18,Desktop,suspicious
root,179.178.99.136,Tablet,suspicious
demo,181.228.185.59,Unknown,suspicious
root,171.61.77.79,Mobile,suspicious
admin,114.88.213.49,Desktop,suspicious
admin,128.52.105.71,Unknown,suspicious
test,128.255.221.240,Tablet,suspicious
demo,192.238.251.218,Mobile,suspicious
root,174.51.68.81,Tablet,suspicious
test,46.134.196.91,Tablet,suspicious
john,216.223.162.188,Tablet,suspicious
guest,129.230.123.21,Mobile,suspicious
admin,140.22.121.86,Mobile,suspicious
login,69.10.73.150,Tablet,suspicious
user,96.116.111.204,Tablet,suspicious
john,195.97.155.223,Desktop,suspicious
root,77.238.14.153,Desktop,suspicious
root,167.176.126.207,Mobile,suspicious
root,177.227.188.221,Desktop,suspicious
demo,180.69.17.125,Tablet,suspicious
demo,180.58.20.3,Unknown,suspicious
root,179.136.172.212,Mobile,suspicious
user,63.105.98.119,Mobile,suspicious
demo,137.70.94.156,Tablet,suspicious
alice,28.212.137.135,Tablet,suspicious
test,219.136.201.211,Desktop,suspicious
root,46.125.24.97,Tablet,suspicious
test,202.173.168.89,Desktop,suspicious
user,62.14.173.96,Unknown,suspicious
user,29.37.81.62,Mobile,suspicious
guest,64.100.213.9,Tablet,suspicious
demo,176.237.239.50,Desktop,suspicious
user,125.38.67.75,Desktop,suspicious
alice,113.45.15.83,Unknown,suspicious
demo,23.45.115.254,Mobile,suspicious
test,191.206.79.109,Desktop,suspicious
guest,213.189.230.139,Desktop,suspicious
user1,183.25.231.125,Unknown,suspicious
john,97.54.100.97,Desktop,suspicious
user,208.169.190.58,Desktop,suspicious
user,205.13.84.80,Tablet,suspicious
john,214.66.183.139,Unknown,suspicious
demo,98.40.206.128,Unknown,suspicious
admin,125.47.53.183,Tablet,suspicious
john,29.81.231.250,Desktop,suspicious
login,103.238.140.35,Tablet,suspicious
admin,60.233.122.50,Desktop,suspicious
admin,143.32.166.50,Unknown,suspicious
root,116.137.17.72,Mobile,suspicious
guest,134.178.62.214,Desktop,suspicious
alice,140.76.206.29,Unknown,suspicious
root,57.48.213.11,Mobile,suspicious
test,138.128.112.109,Unknown,suspicious
guest,77.245.63.194,Desktop,suspicious
user1,152.171.51.184,Tablet,suspicious
john,118.156.197.101,Unknown,suspicious
user1,145.198.64.32,Desktop,suspicious
user1,109.153.245.175,Mobile,suspicious
alice,35.45.221.52,Mobile,suspicious
user,126.39.235.25,Unknown,suspicious
john,5.223.57.86,Desktop,suspicious
john,184.137.16.214,Desktop,suspicious
demo,54.252.252.15,Mobile,suspicious
john,24.142.249.178,Desktop,suspicious
test,21.94.101.19,Tablet,suspicious
user1,89.229.13.18,Unknown,suspicious
alice,39.244.117.144,Mobile,suspicious
user,139.76.245.10,Desktop,suspicious
guest,217.130.92.107,Unknown,suspicious
user1,138.168.153.52,Tablet,suspicious
login,206.184.217.194,Mobile,suspicious
root,57.76.76.109,Unknown,suspicious
alice,131.48.144.46,Desktop,suspicious
user,201.119.202.110,Desktop,suspicious
alice,77.43.39.113,Mobile,suspicious
user,199.81.66.180,Unknown,normal
root,44.34.80.166,Unknown,suspicious
test,34.118.27.179,Mobile,suspicious
demo,138.119.149.200,Unknown,suspicious
john,213.87.85.226,Mobile,suspicious
demo,100.48.220.35,Desktop,suspicious
test,189.33.176.128,Tablet,suspicious
login,113.84.173.161,Unknown,suspicious
test,80.250.144.81,Unknown,suspicious
demo,172.172.205.154,Tablet,suspicious
user,75.75.93.231,Unknown,suspicious
alice,23.188.196.149,Desktop,suspicious
user,79.92.232.255,Desktop,suspicious
admin,57.141.1.44,Tablet,suspicious
alice,164.226.174.61,Mobile,suspicious
guest,7.226.73.113,Mobile,suspicious
login,94.253.146.177,Tablet,suspicious
demo,91.224.188.219,Desktop,suspicious
user1,207.55.249.127,Mobile,suspicious
test,31.148.182.152,Mobile,suspicious
john,167.139.46.29,Unknown,suspicious
demo,194.42.89.158,Tablet,suspicious
login,62.124.177.114,Unknown,suspicious
test,155.207.36.60,Mobile,suspicious
guest,116.198.194.14,Tablet,suspicious
login,137.130.202.178,Tablet,suspicious
guest,30.253.147.197,Unknown,suspicious
guest,32.210.129.86,Tablet,suspicious
demo,131.191.215.244,Mobile,suspicious
root,33.154.5.151,Mobile,suspicious
demo,145.135.141.195,Tablet,suspicious
root,49.227.164.37,Desktop,suspicious
guest,171.34.82.71,Unknown,suspicious
guest,132.128.12.210,Desktop,suspicious
user,202.220.63.152,Mobile,suspicious
guest,161.102.105.182,Unknown,suspicious
root,133.118.181.231,Desktop,suspicious
login,182.152.189.166,Mobile,suspicious
login,174.171.66.226,Tablet,suspicious
john,121.247.241.64,Unknown,suspicious
user1,20.80.237.226,Unknown,suspicious
login,216.78.18.184,Unknown,suspicious
demo,158.32.34.73,Mobile,suspicious
user,218.78.46.213,Tablet,suspicious
guest,148.161.32.252,Mobile,suspicious
user,54.160.13.208,Unknown,suspicious
demo,81.72.42.253,Unknown,suspicious
login,61.43.85.240,Desktop,suspicious
john,149.92.102.198,Desktop,suspicious
john,77.147.210.53,Tablet,suspicious
admin,191.43.94.18,Desktop,suspicious
user,221.255.217.173,Unknown,suspicious
admin,177.97.221.157,Mobile,suspicious
alice,112.99.253.71,Mobile,suspicious
admin,71.60.188.150,Tablet,suspicious
user,142.72.41.220,Desktop,suspicious
demo,143.18.2.111,Desktop,suspicious
root,171.186.35.95,Desktop,suspicious
root,114.180.188.203,Desktop,suspicious
john,69.134.45.59,Mobile,suspicious
demo,178.53.254.41,Mobile,suspicious
test,96.103.110.52,Tablet,suspicious
john,79.198.241.94,Unknown,suspicious
user1,222.221.71.241,Desktop,suspicious
root,160.17.0.242,Mobile,suspicious
root,200.11.115.218,Unknown,suspicious
demo,163.165.94.214,Unknown,suspicious
root,179.35.229.91,Mobile,suspicious
admin,95.156.177.227,Mobile,suspicious
guest,135.181.5.234,Unknown,normal
login,78.37.140.87,Mobile,suspicious
admin,122.24.172.208,Tablet,suspicious
guest,171.40.10.193,Desktop,suspicious
alice,21.44.119.133,Desktop,suspicious
alice,171.127.118.74,Unknown,suspicious
demo,64.124.231.209,Unknown,suspicious
root,165.123.141.200,Unknown,suspicious
guest,70.166.34.188,Tablet,suspicious
root,63.141.72.210,Tablet,suspicious
user1,82.178.70.146,Unknown,suspicious
test,86.158.170.236,Tablet,suspicious
demo,55.110.237.109,Mobile,suspicious
login,66.169.42.214,Unknown,suspicious
john,34.191.45.114,Unknown,suspicious
guest,43.149.30.48,Mobile,suspicious
admin,85.26.164.76,Mobile,suspicious
alice,107.254.66.212,Mobile,suspicious
john,144.91.187.175,Mobile,suspicious
test,71.113.7.196,Tablet,suspicious
user1,85.52.218.146,Mobile,suspicious
user,54.38.132.184,Tablet,suspicious
alice,23.24.61.160,Mobile,suspicious
test,124.60.30.124,Tablet,suspicious
guest,51.198.232.165,Desktop,suspicious
login,154.38.225.37,Unknown,suspicious
user,89.243.86.53,Desktop,suspicious
john,184.33.172.102,Mobile,suspicious
test,210.54.31.182,Unknown,suspicious
admin,219.223.176.95,Mobile,suspicious
root,123.226.197.108,Desktop,suspicious
user,21.202.75.123,Mobile,suspicious
demo,12.83.236.220,Unknown,suspicious
admin,46.226.226.98,Desktop,suspicious
login,29.108.247.203,Unknown,suspicious
user,12.33.156.93,Tablet,suspicious
alice,123.122.79.21,Desktop,suspicious
root,64.154.61.91,Tablet,suspicious
demo,192.228.156.98,Mobile,suspicious
user,56.102.105.92,Unknown,suspicious
demo,132.186.187.91,Unknown,suspicious
john,117.151.254.140,Desktop,suspicious
admin,191.74.96.55,Mobile,suspicious
admin,118.1.176.68,Mobile,suspicious
guest,92.93.110.90,Mobile,suspicious
admin,197.12.235.234,Desktop,suspicious
test,220.4.51.41,Mobile,suspicious
demo,194.65.239.60,Tablet,suspicious
login,214.72.120.254,Tablet,suspicious
login,39.74.143.217,Desktop,suspicious
user1,19.91.168.70,Tablet,suspicious
demo,96.184.72.142,Mobile,suspicious
user,109.28.254.57,Tablet,suspicious
guest,207.214.52.168,Mobile,suspicious
demo,97.25.9.62,Unknown,suspicious
user1,58.187.33.187,Desktop,suspicious
guest,223.91.13.72,Desktop,suspicious
test,75.101.97.108,Unknown,suspicious
john,201.59.210.231,Desktop,suspicious
login,169.248.99.152,Mobile,suspicious
login,104.91.19.96,Mobile,suspicious
test,109.26.171.21,Mobile,suspicious
admin,167.135.235.242,Desktop,suspicious
john,34.116.44.132,Unknown,suspicious
alice,212.49.189.32,Mobile,suspicious
demo,121.155.97.148,Mobile,suspicious
login,69.26.12.168,Mobile,suspicious
user,157.121.47.31,Desktop,suspicious
guest,105.33.247.115,Mobile,suspicious
user1,81.35.117.106,Desktop,suspicious
demo,17.118.18.119,Desktop,suspicious
guest,214.190.149.221,Tablet,suspicious
login,50.126.7.21,Unknown,suspicious
admin,222.140.52.173,Unknown,suspicious
user1,164.91.209.158,Desktop,suspicious
root,79.152.21.253,Tablet,suspicious
alice,81.113.251.168,Desktop,suspicious
test,65.161.12.35,Unknown,suspicious
demo,92.82.49.201,Unknown,suspicious
user1,150.92.232.234,Mobile,suspicious
john,76.204.5.153,Tablet,suspicious
test,178.82.215.116,Desktop,suspicious
demo,164.64.194.20,Tablet,suspicious
john,112.71.240.6,Desktop,suspicious
guest,99.60.82.172,Tablet,suspicious
user,99.229.29.52,Desktop,suspicious
alice,57.85.91.142,Tablet,suspicious
john,110.159.141.0,Desktop,suspicious
alice,17.38.51.41,Unknown,suspicious
alice,32.250.149.58,Tablet,suspicious
john,164.103.81.134,Desktop,suspicious
test,92.77.154.6,Unknown,suspicious
user,20.193.53.62,Tablet,suspicious
guest,136.118.137.2,Tablet,suspicious
admin,118.101.198.36,Unknown,suspicious
user1,137.193.156.180,Mobile,suspicious
root,71.158.62.136,Desktop,suspicious
user,45.56.76.126,Mobile,suspicious
user,81.216.230.203,Mobile,suspicious
guest,143.71.79.179,Desktop,suspicious
john,66.151.231.185,Unknown,suspicious
guest,77.157.231.164,Desktop,suspicious
user,24.94.240.92,Tablet,suspicious
test,187.249.237.100,Tablet,suspicious
john,142.4.12.223,Desktop,suspicious
guest,176.41.6.23,Unknown,suspicious
root,220.140.194.227,Tablet,suspicious
guest,217.237.25.93,Tablet,suspicious
root,34.225.73.8,Desktop,suspicious
user1,88.122.129.118,Desktop,suspicious
guest,96.191.213.71,Tablet,suspicious
login,82.58.143.159,Desktop,suspicious
admin,212.159.176.177,Mobile,suspicious
user1,198.80.88.139,Desktop,suspicious
user,106.241.153.68,Unknown,suspicious
alice,212.207.252.146,Mobile,suspicious
user1,95.227.205.151,Tablet,suspicious
login,169.249.126.216,Desktop,suspicious
demo,29.12.106.71,Unknown,suspicious
root,181.114.68.104,Tablet,suspicious
guest,12.109.151.153,Unknown,suspicious
user1,186.205.133.60,Unknown,suspicious
login,180.190.35.200,Mobile,suspicious
guest,116.221.129.209,Tablet,suspicious
alice,184.23.98.138,Mobile,suspicious
test,99.2.169.3,Unknown,suspicious
john,116.151.57.133,Desktop,suspicious
demo,72.218.237.136,Tablet,suspicious
login,42.70.205.147,Desktop,suspicious
user1,46.26.3.141,Tablet,suspicious
root,216.247.99.225,Mobile,suspicious
admin,193.138.11.165,Unknown,suspicious
demo,208.189.90.214,Tablet,suspicious
guest,101.27.24.88,Unknown,suspicious
alice,4.163.229.23,Unknown,suspicious
admin,93.119.160.3,Tablet,suspicious
